id inf_all
1 0.973
2 0.764
3 0.919
4 0.692
5 0.975
6 0.951
7 0.811
8 0.947
9 0.77
10 0.86
11 0.89
12 0.835
13 0.89
14 0.865
15 0.975
16 0.947
17 0.86
18 0.973
19 0.865
20 0.951
21 0.89
22 0.803
23 0.829
24 0.764
25 0.975
26 0.973
27 0.89
28 0.946
29 1
30 0.829
31 0.803
32 0.975
33 0.86
34 0.872
35 0.89
36 0.86
37 0.725
38 0.89
39 0.947
40 0.746
41 0.947
42 0.973
43 0.919
44 0.973
45 0.975
46 0.764
47 0.895
48 0.865
49 1
50 1
51 0.757
52 0.662
53 0.919
54 0.86
55 0.803
56 0.86
57 0.829
58 0.835
59 0.764
60 0.923
61 0.946
62 0.973
63 0.835
64 1
65 0.946
66 0.895
67 0.947
68 0.973
69 0.973
70 0.889
71 0.858
72 0.923
73 0.86
74 0.829
75 1
76 0.829
77 0.946
78 0.919
79 0.86
80 0.803
81 0.973
82 0.973
83 1
84 0.923
85 0.975
86 0.973
87 0.865
88 1
89 0.919
90 1
91 0.973
92 0.827
93 0.858
94 0.797
95 0.946
96 0.975
97 0.923
98 0.973
99 0.973
100 0.89
