id model inf_all
2LP9 1 0.926
2LP9 2 0.54
2LP9 3 0.847
2LP9 4 0.758
2LP9 5 0.901
2LP9 6 0.873
2LP9 7 0.758
2LP9 8 0.873
2LP9 9 0.666
2LP9 10 0.789
2LP9 11 0.789
2LP9 12 0.764
2LP9 13 0.926
2LP9 14 0.789
2LP9 15 0.976
2LP9 16 0.9
2LP9 17 0.845
2LP9 18 0.952
2LP9 19 0.758
2LP9 20 0.976
2LP9 21 0.732
2LP9 22 0.693
2LP9 23 0.63
2LP9 24 0.758
2LP9 25 0.873
2LP9 26 0.93
2LP9 27 0.592
2LP9 28 0.847
2LP9 29 0.926
2LP9 30 0.847
2LP9 31 0.726
2LP9 32 0.874
2LP9 33 0.592
2LP9 34 0.818
2LP9 35 0.789
2LP9 36 0.693
2LP9 37 0.658
2LP9 38 0.642
2LP9 39 0.927
2LP9 40 0.552
2LP9 41 0.901
2LP9 42 1
2LP9 43 0.847
2LP9 44 0.976
2LP9 45 0.952
2LP9 46 0.666
2LP9 47 0.732
2LP9 48 0.818
2LP9 49 0.951
2LP9 50 0.9
2LP9 51 0.764
2LP9 52 0.726
2LP9 53 0.9
2LP9 54 0.816
2LP9 55 0.582
2LP9 56 0.816
2LP9 57 0.789
2LP9 58 0.617
2LP9 59 0.756
2LP9 60 0.823
2LP9 61 0.789
2LP9 62 1
2LP9 63 0.789
2LP9 64 0.976
2LP9 65 0.873
2LP9 66 0.927
2LP9 67 0.926
2LP9 68 0.977
2LP9 69 0.905
2LP9 70 0.874
2LP9 71 0.732
2LP9 72 0.901
2LP9 73 0.756
2LP9 74 0.873
2LP9 75 0.951
2LP9 76 0.693
2LP9 77 0.847
2LP9 78 0.845
2LP9 79 0.789
2LP9 80 0.666
2LP9 81 0.976
2LP9 82 0.977
2LP9 83 1
2LP9 84 0.901
2LP9 85 0.951
2LP9 86 1
2LP9 87 0.845
2LP9 88 0.976
2LP9 89 0.794
2LP9 90 1
2LP9 91 1
2LP9 92 0.726
2LP9 93 0.63
2LP9 94 0.756
2LP9 95 0.873
2LP9 96 0.874
2LP9 97 0.9
2LP9 98 0.951
2LP9 99 1
2LP9 100 0.823
