id model inf_all
5KQE 1 0.989
5KQE 2 0.946
5KQE 3 0.989
5KQE 4 0.978
5KQE 5 1
5KQE 6 0.989
5KQE 7 0.978
5KQE 8 1
5KQE 9 0.978
5KQE 10 0.967
5KQE 11 0.956
5KQE 12 1
5KQE 13 0.967
5KQE 14 0.967
5KQE 15 1
5KQE 16 0.989
5KQE 17 0.989
5KQE 18 0.989
5KQE 19 0.978
5KQE 20 1
5KQE 21 0.967
5KQE 22 0.944
5KQE 23 0.956
5KQE 24 0.933
5KQE 25 0.978
5KQE 26 0.989
5KQE 27 0.967
5KQE 28 0.978
5KQE 29 1
5KQE 30 0.978
5KQE 31 1
5KQE 32 0.967
5KQE 33 0.978
5KQE 34 0.989
5KQE 35 0.978
5KQE 36 0.956
5KQE 37 0.933
5KQE 38 0.967
5KQE 39 1
5KQE 40 0.989
5KQE 41 0.978
5KQE 42 1
5KQE 43 0.989
5KQE 44 1
5KQE 45 1
5KQE 46 0.967
5KQE 47 0.978
5KQE 48 1
5KQE 49 1
5KQE 50 0.978
5KQE 51 0.967
5KQE 52 0.956
5KQE 53 0.989
5KQE 54 0.989
5KQE 55 0.967
5KQE 56 0.989
5KQE 57 0.945
5KQE 58 0.944
5KQE 59 0.956
5KQE 60 1
5KQE 61 0.978
5KQE 62 1
5KQE 63 0.978
5KQE 64 1
5KQE 65 1
5KQE 66 0.989
5KQE 67 0.989
5KQE 68 0.978
5KQE 69 0.989
5KQE 70 0.989
5KQE 71 0.978
5KQE 72 0.989
5KQE 73 0.967
5KQE 74 0.989
5KQE 75 1
5KQE 76 0.978
5KQE 77 0.944
5KQE 78 0.989
5KQE 79 0.978
5KQE 80 0.956
5KQE 81 1
5KQE 82 1
5KQE 83 1
5KQE 84 1
5KQE 85 0.989
5KQE 86 1
5KQE 87 0.978
5KQE 88 1
5KQE 89 0.978
5KQE 90 1
5KQE 91 1
5KQE 92 0.989
5KQE 93 0.978
5KQE 94 0.978
5KQE 95 0.978
5KQE 96 0.989
5KQE 97 0.978
5KQE 98 0.978
5KQE 99 1
5KQE 100 0.978
