id model inf_all
2LPA 1 0.95
2LPA 2 0.717
2LPA 3 0.975
2LPA 4 0.674
2LPA 5 0.922
2LPA 6 1
2LPA 7 0.783
2LPA 8 0.922
2LPA 9 0.751
2LPA 10 0.777
2LPA 11 0.636
2LPA 12 0.866
2LPA 13 0.839
2LPA 14 0.949
2LPA 15 1
2LPA 16 0.868
2LPA 17 0.645
2LPA 18 1
2LPA 19 0.806
2LPA 20 0.976
2LPA 21 0.71
2LPA 22 0.671
2LPA 23 0.839
2LPA 24 0.837
2LPA 25 0.813
2LPA 26 0.95
2LPA 27 0.71
2LPA 28 0.949
2LPA 29 0.95
2LPA 30 0.896
2LPA 31 0.751
2LPA 32 0.923
2LPA 33 0.808
2LPA 34 0.923
2LPA 35 0.775
2LPA 36 0.759
2LPA 37 0.744
2LPA 38 0.751
2LPA 39 0.95
2LPA 40 0.837
2LPA 41 0.976
2LPA 42 1
2LPA 43 0.872
2LPA 44 1
2LPA 45 0.922
2LPA 46 0.808
2LPA 47 0.808
2LPA 48 0.744
2LPA 49 1
2LPA 50 0.923
2LPA 51 0.674
2LPA 52 0.607
2LPA 53 0.922
2LPA 54 0.777
2LPA 55 0.674
2LPA 56 0.813
2LPA 57 0.868
2LPA 58 0.671
2LPA 59 0.548
2LPA 60 0.922
2LPA 61 0.843
2LPA 62 1
2LPA 63 0.9
2LPA 64 1
2LPA 65 0.837
2LPA 66 0.894
2LPA 67 0.95
2LPA 68 0.976
2LPA 69 0.976
2LPA 70 0.949
2LPA 71 0.607
2LPA 72 0.894
2LPA 73 0.744
2LPA 74 0.896
2LPA 75 1
2LPA 76 0.777
2LPA 77 0.9
2LPA 78 0.808
2LPA 79 0.923
2LPA 80 0.71
2LPA 81 1
2LPA 82 1
2LPA 83 1
2LPA 84 0.922
2LPA 85 0.923
2LPA 86 1
2LPA 87 0.9
2LPA 88 1
2LPA 89 0.975
2LPA 90 1
2LPA 91 1
2LPA 92 0.866
2LPA 93 0.808
2LPA 94 0.837
2LPA 95 0.808
2LPA 96 0.949
2LPA 97 0.896
2LPA 98 0.976
2LPA 99 1
2LPA 100 0.923
