id model inf_all
5V16 1 1
5V16 2 0.914
5V16 3 0.981
5V16 4 0.973
5V16 5 0.991
5V16 6 0.981
5V16 7 0.973
5V16 8 0.981
5V16 9 0.943
5V16 10 0.972
5V16 11 0.963
5V16 12 0.972
5V16 13 0.981
5V16 14 0.982
5V16 15 1
5V16 16 0.964
5V16 17 0.964
5V16 18 0.981
5V16 19 0.973
5V16 20 1
5V16 21 0.973
5V16 22 0.973
5V16 23 0.981
5V16 24 0.982
5V16 25 0.991
5V16 26 1
5V16 27 0.981
5V16 28 1
5V16 29 0.991
5V16 30 0.972
5V16 31 0.963
5V16 32 0.971
5V16 33 0.962
5V16 34 0.981
5V16 35 0.963
5V16 36 0.972
5V16 37 0.942
5V16 38 0.945
5V16 39 0.973
5V16 40 0.981
5V16 41 1
5V16 42 1
5V16 43 0.972
5V16 44 1
5V16 45 0.963
5V16 46 0.964
5V16 47 0.981
5V16 48 0.973
5V16 49 1
5V16 50 0.991
5V16 51 0.972
5V16 52 0.945
5V16 53 0.982
5V16 54 0.954
5V16 55 0.953
5V16 56 0.954
5V16 57 0.963
5V16 58 0.962
5V16 59 0.954
5V16 60 0.972
5V16 61 0.982
5V16 62 1
5V16 63 0.982
5V16 64 1
5V16 65 0.991
5V16 66 0.981
5V16 67 0.991
5V16 68 0.981
5V16 69 0.982
5V16 70 0.973
5V16 71 0.982
5V16 72 0.963
5V16 73 0.964
5V16 74 0.982
5V16 75 1
5V16 76 0.953
5V16 77 0.991
5V16 78 0.963
5V16 79 0.982
5V16 80 0.973
5V16 81 1
5V16 82 1
5V16 83 1
5V16 84 0.972
5V16 85 0.971
5V16 86 1
5V16 87 0.972
5V16 88 0.991
5V16 89 0.971
5V16 90 1
5V16 91 1
5V16 92 0.971
5V16 93 0.962
5V16 94 0.982
5V16 95 0.981
5V16 96 0.972
5V16 97 0.991
5V16 98 1
5V16 99 1
5V16 100 0.973
