id model inf_all
2M22 1 0.981
2M22 2 0.945
2M22 3 0.981
2M22 4 0.98
2M22 5 0.962
2M22 6 0.981
2M22 7 1
2M22 8 0.981
2M22 9 0.96
2M22 10 0.924
2M22 11 1
2M22 12 0.962
2M22 13 0.981
2M22 14 1
2M22 15 0.981
2M22 16 0.981
2M22 17 0.981
2M22 18 1
2M22 19 0.981
2M22 20 1
2M22 21 0.898
2M22 22 0.85
2M22 23 0.894
2M22 24 0.917
2M22 25 1
2M22 26 1
2M22 27 0.895
2M22 28 0.959
2M22 29 1
2M22 30 0.962
2M22 31 0.941
2M22 32 1
2M22 33 1
2M22 34 0.981
2M22 35 0.96
2M22 36 0.895
2M22 37 0.825
2M22 38 0.876
2M22 39 1
2M22 40 0.92
2M22 41 1
2M22 42 0.981
2M22 43 1
2M22 44 0.981
2M22 45 0.941
2M22 46 0.98
2M22 47 0.98
2M22 48 0.941
2M22 49 1
2M22 50 1
2M22 51 0.939
2M22 52 0.917
2M22 53 0.981
2M22 54 0.941
2M22 55 0.849
2M22 56 1
2M22 57 0.898
2M22 58 0.917
2M22 59 0.876
2M22 60 0.941
2M22 61 1
2M22 62 1
2M22 63 0.981
2M22 64 0.981
2M22 65 0.981
2M22 66 0.981
2M22 67 1
2M22 68 1
2M22 69 0.981
2M22 70 0.981
2M22 71 0.96
2M22 72 0.962
2M22 73 0.98
2M22 74 1
2M22 75 0.981
2M22 76 0.898
2M22 77 0.98
2M22 78 1
2M22 79 0.981
2M22 80 0.894
2M22 81 1
2M22 82 0.981
2M22 83 1
2M22 84 0.981
2M22 85 0.981
2M22 86 1
2M22 87 0.962
2M22 88 0.981
2M22 89 0.981
2M22 90 1
2M22 91 1
2M22 92 0.898
2M22 93 0.938
2M22 94 0.894
2M22 95 0.981
2M22 96 0.96
2M22 97 1
2M22 98 0.981
2M22 99 1
2M22 100 0.917
