id model inf_all
2MHI 1 0.964
2MHI 2 0.909
2MHI 3 0.974
2MHI 4 0.886
2MHI 5 0.954
2MHI 6 0.964
2MHI 7 0.929
2MHI 8 0.974
2MHI 9 0.916
2MHI 10 0.909
2MHI 11 0.881
2MHI 12 0.929
2MHI 13 0.94
2MHI 14 0.964
2MHI 15 0.991
2MHI 16 0.973
2MHI 17 0.945
2MHI 18 0.982
2MHI 19 0.948
2MHI 20 0.982
2MHI 21 0.945
2MHI 22 0.909
2MHI 23 0.917
2MHI 24 0.926
2MHI 25 0.964
2MHI 26 0.964
2MHI 27 0.923
2MHI 28 0.956
2MHI 29 0.964
2MHI 30 0.926
2MHI 31 0.908
2MHI 32 0.935
2MHI 33 0.909
2MHI 34 0.957
2MHI 35 0.947
2MHI 36 0.903
2MHI 37 0.881
2MHI 38 0.937
2MHI 39 0.973
2MHI 40 0.927
2MHI 41 0.964
2MHI 42 1
2MHI 43 0.964
2MHI 44 0.991
2MHI 45 0.973
2MHI 46 0.929
2MHI 47 0.93
2MHI 48 0.927
2MHI 49 0.991
2MHI 50 0.973
2MHI 51 0.929
2MHI 52 0.885
2MHI 53 0.973
2MHI 54 0.954
2MHI 55 0.919
2MHI 56 0.955
2MHI 57 0.909
2MHI 58 0.938
2MHI 59 0.938
2MHI 60 0.954
2MHI 61 0.94
2MHI 62 1
2MHI 63 0.929
2MHI 64 0.991
2MHI 65 0.947
2MHI 66 0.938
2MHI 67 0.973
2MHI 68 0.964
2MHI 69 0.966
2MHI 70 0.964
2MHI 71 0.911
2MHI 72 0.954
2MHI 73 0.936
2MHI 74 0.927
2MHI 75 0.982
2MHI 76 0.909
2MHI 77 0.964
2MHI 78 0.947
2MHI 79 0.964
2MHI 80 0.896
2MHI 81 1
2MHI 82 0.982
2MHI 83 1
2MHI 84 0.973
2MHI 85 0.973
2MHI 86 0.991
2MHI 87 0.947
2MHI 88 0.964
2MHI 89 0.948
2MHI 90 1
2MHI 91 1
2MHI 92 0.901
2MHI 93 0.921
2MHI 94 0.899
2MHI 95 0.947
2MHI 96 0.937
2MHI 97 0.956
2MHI 98 0.982
2MHI 99 1
2MHI 100 0.929
