id model inf_all
2M4W 1 0.93
2M4W 2 0.592
2M4W 3 0.926
2M4W 4 0.758
2M4W 5 0.794
2M4W 6 0.927
2M4W 7 0.878
2M4W 8 0.905
2M4W 9 0.789
2M4W 10 0.758
2M4W 11 0.789
2M4W 12 0.789
2M4W 13 0.9
2M4W 14 0.873
2M4W 15 0.977
2M4W 16 0.901
2M4W 17 0.794
2M4W 18 0.927
2M4W 19 0.878
2M4W 20 0.952
2M4W 21 0.7
2M4W 22 0.756
2M4W 23 0.732
2M4W 24 0.873
2M4W 25 0.951
2M4W 26 0.905
2M4W 27 0.845
2M4W 28 0.878
2M4W 29 0.878
2M4W 30 0.794
2M4W 31 0.873
2M4W 32 0.847
2M4W 33 0.794
2M4W 34 0.772
2M4W 35 0.818
2M4W 36 0.787
2M4W 37 0.787
2M4W 38 0.758
2M4W 39 0.927
2M4W 40 0.816
2M4W 41 0.976
2M4W 42 1
2M4W 43 0.845
2M4W 44 1
2M4W 45 0.952
2M4W 46 0.845
2M4W 47 0.927
2M4W 48 0.764
2M4W 49 0.976
2M4W 50 0.951
2M4W 51 0.794
2M4W 52 0.642
2M4W 53 0.878
2M4W 54 0.847
2M4W 55 0.7
2M4W 56 0.951
2M4W 57 0.693
2M4W 58 0.758
2M4W 59 0.818
2M4W 60 0.901
2M4W 61 0.845
2M4W 62 1
2M4W 63 0.873
2M4W 64 0.976
2M4W 65 0.874
2M4W 66 0.927
2M4W 67 0.926
2M4W 68 0.927
2M4W 69 0.952
2M4W 70 0.823
2M4W 71 0.83
2M4W 72 0.857
2M4W 73 0.851
2M4W 74 0.789
2M4W 75 0.976
2M4W 76 0.758
2M4W 77 0.927
2M4W 78 0.873
2M4W 79 0.874
2M4W 80 0.926
2M4W 81 1
2M4W 82 0.976
2M4W 83 1
2M4W 84 0.884
2M4W 85 0.976
2M4W 86 1
2M4W 87 0.873
2M4W 88 0.93
2M4W 89 0.772
2M4W 90 1
2M4W 91 1
2M4W 92 0.823
2M4W 93 0.818
2M4W 94 0.658
2M4W 95 0.976
2M4W 96 0.781
2M4W 97 0.851
2M4W 98 0.952
2M4W 99 1
2M4W 100 0.874
