id model inf_all
28SR 1 1
28SR 2 0.85
28SR 3 0.986
28SR 4 0.926
28SR 5 0.986
28SR 6 0.986
28SR 7 0.942
28SR 8 0.973
28SR 9 0.896
28SR 10 0.896
28SR 11 0.926
28SR 12 0.928
28SR 13 0.957
28SR 14 0.971
28SR 15 1
28SR 16 0.973
28SR 17 0.973
28SR 18 1
28SR 19 0.958
28SR 20 1
28SR 21 0.945
28SR 22 0.926
28SR 23 0.956
28SR 24 0.941
28SR 25 0.986
28SR 26 0.971
28SR 27 0.883
28SR 28 0.971
28SR 29 0.986
28SR 30 0.928
28SR 31 0.914
28SR 32 1
28SR 33 0.926
28SR 34 0.958
28SR 35 0.93
28SR 36 0.879
28SR 37 0.895
28SR 38 0.867
28SR 39 0.971
28SR 40 0.899
28SR 41 1
28SR 42 1
28SR 43 0.957
28SR 44 1
28SR 45 0.986
28SR 46 0.895
28SR 47 0.986
28SR 48 0.928
28SR 49 1
28SR 50 0.986
28SR 51 0.971
28SR 52 0.912
28SR 53 0.986
28SR 54 0.943
28SR 55 0.883
28SR 56 0.958
28SR 57 0.971
28SR 58 0.911
28SR 59 0.857
28SR 60 0.986
28SR 61 0.986
28SR 62 1
28SR 63 0.93
28SR 64 1
28SR 65 0.943
28SR 66 0.971
28SR 67 0.986
28SR 68 0.986
28SR 69 0.958
28SR 70 0.971
28SR 71 0.926
28SR 72 0.958
28SR 73 0.926
28SR 74 0.942
28SR 75 1
28SR 76 0.879
28SR 77 0.971
28SR 78 0.957
28SR 79 0.932
28SR 80 0.973
28SR 81 1
28SR 82 1
28SR 83 1
28SR 84 0.986
28SR 85 0.986
28SR 86 1
28SR 87 0.958
28SR 88 0.986
28SR 89 0.986
28SR 90 1
28SR 91 1
28SR 92 0.928
28SR 93 0.941
28SR 94 0.896
28SR 95 0.943
28SR 96 0.986
28SR 97 0.971
28SR 98 1
28SR 99 1
28SR 100 0.971
