id model inf_all
2N6T 1 0.99
2N6T 2 0.947
2N6T 3 0.99
2N6T 4 0.968
2N6T 5 0.968
2N6T 6 0.979
2N6T 7 0.958
2N6T 8 0.979
2N6T 9 0.947
2N6T 10 0.968
2N6T 11 0.958
2N6T 12 0.947
2N6T 13 0.936
2N6T 14 0.958
2N6T 15 1
2N6T 16 0.979
2N6T 17 0.958
2N6T 18 0.958
2N6T 19 0.936
2N6T 20 0.99
2N6T 21 0.957
2N6T 22 0.958
2N6T 23 0.958
2N6T 24 0.958
2N6T 25 0.99
2N6T 26 0.99
2N6T 27 0.968
2N6T 28 0.979
2N6T 29 0.99
2N6T 30 0.968
2N6T 31 0.958
2N6T 32 0.979
2N6T 33 0.958
2N6T 34 0.958
2N6T 35 0.947
2N6T 36 0.979
2N6T 37 0.925
2N6T 38 0.936
2N6T 39 0.979
2N6T 40 0.968
2N6T 41 0.979
2N6T 42 0.99
2N6T 43 0.979
2N6T 44 0.99
2N6T 45 0.968
2N6T 46 0.968
2N6T 47 0.969
2N6T 48 0.98
2N6T 49 0.99
2N6T 50 0.979
2N6T 51 0.936
2N6T 52 0.98
2N6T 53 0.99
2N6T 54 0.947
2N6T 55 0.958
2N6T 56 0.979
2N6T 57 0.958
2N6T 58 0.928
2N6T 59 0.979
2N6T 60 0.99
2N6T 61 0.979
2N6T 62 1
2N6T 63 0.947
2N6T 64 0.979
2N6T 65 0.99
2N6T 66 0.968
2N6T 67 0.99
2N6T 68 0.979
2N6T 69 0.968
2N6T 70 0.99
2N6T 71 0.968
2N6T 72 0.979
2N6T 73 0.979
2N6T 74 0.979
2N6T 75 0.99
2N6T 76 0.947
2N6T 77 0.947
2N6T 78 0.936
2N6T 79 0.979
2N6T 80 0.99
2N6T 81 1
2N6T 82 0.99
2N6T 83 1
2N6T 84 0.958
2N6T 85 0.979
2N6T 86 0.99
2N6T 87 0.936
2N6T 88 1
2N6T 89 0.968
2N6T 90 1
2N6T 91 0.979
2N6T 92 0.924
2N6T 93 0.968
2N6T 94 0.968
2N6T 95 0.968
2N6T 96 0.968
2N6T 97 0.979
2N6T 98 1
2N6T 99 1
2N6T 100 0.936
