id model inf_all
4A4S 1 0.967
4A4S 2 0.784
4A4S 3 0.934
4A4S 4 0.861
4A4S 5 0.984
4A4S 6 0.968
4A4S 7 0.934
4A4S 8 0.968
4A4S 9 0.842
4A4S 10 0.916
4A4S 11 0.899
4A4S 12 0.916
4A4S 13 0.95
4A4S 14 0.934
4A4S 15 1
4A4S 16 0.951
4A4S 17 0.916
4A4S 18 1
4A4S 19 0.899
4A4S 20 0.968
4A4S 21 0.934
4A4S 22 0.862
4A4S 23 0.862
4A4S 24 0.916
4A4S 25 0.968
4A4S 26 0.967
4A4S 27 0.881
4A4S 28 0.967
4A4S 29 0.968
4A4S 30 0.95
4A4S 31 0.934
4A4S 32 0.951
4A4S 33 0.968
4A4S 34 0.984
4A4S 35 0.916
4A4S 36 0.899
4A4S 37 0.862
4A4S 38 0.881
4A4S 39 0.951
4A4S 40 0.898
4A4S 41 0.967
4A4S 42 1
4A4S 43 0.934
4A4S 44 1
4A4S 45 0.984
4A4S 46 0.784
4A4S 47 0.933
4A4S 48 0.951
4A4S 49 1
4A4S 50 0.968
4A4S 51 0.881
4A4S 52 0.845
4A4S 53 0.951
4A4S 54 0.882
4A4S 55 0.824
4A4S 56 0.916
4A4S 57 0.916
4A4S 58 0.881
4A4S 59 0.864
4A4S 60 0.951
4A4S 61 0.967
4A4S 62 1
4A4S 63 0.916
4A4S 64 1
4A4S 65 0.934
4A4S 66 0.916
4A4S 67 0.984
4A4S 68 0.984
4A4S 69 1
4A4S 70 0.899
4A4S 71 0.899
4A4S 72 0.934
4A4S 73 0.804
4A4S 74 0.898
4A4S 75 1
4A4S 76 0.88
4A4S 77 0.95
4A4S 78 0.899
4A4S 79 0.951
4A4S 80 0.916
4A4S 81 1
4A4S 82 1
4A4S 83 0.984
4A4S 84 0.862
4A4S 85 0.984
4A4S 86 1
4A4S 87 0.862
4A4S 88 0.984
4A4S 89 0.951
4A4S 90 1
4A4S 91 1
4A4S 92 0.916
4A4S 93 0.933
4A4S 94 0.823
4A4S 95 0.842
4A4S 96 0.968
4A4S 97 0.898
4A4S 98 0.967
4A4S 99 1
4A4S 100 0.934
