id inf_all
1 0.99
2 0.947
3 0.98
4 0.99
5 1
6 0.99
7 0.969
8 0.99
9 0.969
10 0.99
11 0.961
12 0.98
13 0.98
14 0.99
15 1
16 0.98
17 0.99
18 0.99
19 0.979
20 1
21 0.99
22 0.947
23 0.97
24 0.97
25 0.99
26 0.979
27 0.969
28 0.979
29 0.99
30 0.969
31 0.969
32 0.97
33 0.97
34 0.99
35 0.99
36 0.961
37 0.969
38 0.969
39 0.97
40 0.98
41 0.99
42 1
43 0.99
44 0.99
45 0.98
46 0.958
47 0.979
48 0.97
49 0.99
50 0.99
51 0.979
52 0.979
53 0.99
54 0.98
55 0.958
56 0.97
57 0.969
58 0.99
59 0.949
60 0.979
61 0.99
62 1
63 0.959
64 0.99
65 0.99
66 0.97
67 1
68 0.99
69 0.99
70 0.98
71 0.969
72 0.95
73 0.979
74 0.98
75 0.99
76 0.979
77 0.98
78 0.99
79 0.979
80 0.961
81 1
82 0.98
83 1
84 0.99
85 0.99
86 1
87 0.969
88 0.99
89 0.98
90 0.99
91 0.99
92 0.99
93 0.98
94 0.979
95 0.98
96 0.979
97 0.99
98 0.97
99 1
100 0.99
