id model inf_all
5A18 1 0.975
5A18 2 0.925
5A18 3 0.975
5A18 4 0.962
5A18 5 0.987
5A18 6 1
5A18 7 0.988
5A18 8 0.987
5A18 9 0.949
5A18 10 0.923
5A18 11 0.949
5A18 12 0.935
5A18 13 0.949
5A18 14 0.975
5A18 15 1
5A18 16 1
5A18 17 0.975
5A18 18 0.987
5A18 19 0.936
5A18 20 1
5A18 21 0.949
5A18 22 0.975
5A18 23 0.936
5A18 24 0.975
5A18 25 0.975
5A18 26 0.975
5A18 27 0.962
5A18 28 0.962
5A18 29 0.975
5A18 30 0.937
5A18 31 0.949
5A18 32 0.975
5A18 33 0.936
5A18 34 0.962
5A18 35 0.949
5A18 36 0.962
5A18 37 0.922
5A18 38 0.935
5A18 39 0.987
5A18 40 0.936
5A18 41 0.987
5A18 42 1
5A18 43 0.975
5A18 44 0.987
5A18 45 0.975
5A18 46 0.962
5A18 47 0.962
5A18 48 0.962
5A18 49 1
5A18 50 0.988
5A18 51 0.975
5A18 52 0.949
5A18 53 0.975
5A18 54 0.922
5A18 55 0.95
5A18 56 0.962
5A18 57 0.975
5A18 58 0.962
5A18 59 0.962
5A18 60 0.962
5A18 61 0.962
5A18 62 1
5A18 63 0.962
5A18 64 0.987
5A18 65 0.962
5A18 66 0.962
5A18 67 0.988
5A18 68 0.988
5A18 69 0.975
5A18 70 0.975
5A18 71 0.962
5A18 72 0.975
5A18 73 0.923
5A18 74 0.976
5A18 75 1
5A18 76 0.962
5A18 77 0.962
5A18 78 0.936
5A18 79 0.976
5A18 80 0.962
5A18 81 1
5A18 82 1
5A18 83 1
5A18 84 0.975
5A18 85 0.987
5A18 86 0.987
5A18 87 0.975
5A18 88 0.987
5A18 89 0.962
5A18 90 1
5A18 91 1
5A18 92 0.935
5A18 93 0.949
5A18 94 0.975
5A18 95 0.949
5A18 96 0.962
5A18 97 0.962
5A18 98 0.987
5A18 99 1
5A18 100 0.949
