id model inf_all
2LU0 1 0.991
2LU0 2 0.946
2LU0 3 0.981
2LU0 4 0.981
2LU0 5 0.981
2LU0 6 0.972
2LU0 7 0.973
2LU0 8 0.981
2LU0 9 0.955
2LU0 10 0.973
2LU0 11 0.972
2LU0 12 0.973
2LU0 13 0.982
2LU0 14 0.981
2LU0 15 0.991
2LU0 16 0.962
2LU0 17 0.953
2LU0 18 0.981
2LU0 19 0.964
2LU0 20 0.991
2LU0 21 0.991
2LU0 22 0.965
2LU0 23 0.981
2LU0 24 0.981
2LU0 25 0.972
2LU0 26 0.991
2LU0 27 0.972
2LU0 28 0.991
2LU0 29 0.991
2LU0 30 0.964
2LU0 31 0.973
2LU0 32 0.981
2LU0 33 0.972
2LU0 34 0.991
2LU0 35 0.963
2LU0 36 0.981
2LU0 37 0.972
2LU0 38 0.954
2LU0 39 0.981
2LU0 40 0.981
2LU0 41 0.981
2LU0 42 1
2LU0 43 0.981
2LU0 44 0.991
2LU0 45 0.972
2LU0 46 0.964
2LU0 47 0.981
2LU0 48 0.972
2LU0 49 1
2LU0 50 0.972
2LU0 51 0.973
2LU0 52 0.981
2LU0 53 0.972
2LU0 54 0.973
2LU0 55 0.962
2LU0 56 0.963
2LU0 57 0.973
2LU0 58 0.973
2LU0 59 0.954
2LU0 60 0.981
2LU0 61 0.963
2LU0 62 1
2LU0 63 0.965
2LU0 64 1
2LU0 65 0.981
2LU0 66 0.973
2LU0 67 1
2LU0 68 1
2LU0 69 0.981
2LU0 70 0.962
2LU0 71 0.946
2LU0 72 0.981
2LU0 73 0.981
2LU0 74 1
2LU0 75 1
2LU0 76 0.973
2LU0 77 0.991
2LU0 78 0.991
2LU0 79 0.981
2LU0 80 0.972
2LU0 81 1
2LU0 82 1
2LU0 83 1
2LU0 84 0.991
2LU0 85 0.991
2LU0 86 1
2LU0 87 0.991
2LU0 88 1
2LU0 89 0.991
2LU0 90 1
2LU0 91 1
2LU0 92 0.953
2LU0 93 0.982
2LU0 94 0.973
2LU0 95 0.991
2LU0 96 1
2LU0 97 1
2LU0 98 0.991
2LU0 99 1
2LU0 100 0.981
