id model inf_all
5LWJ 1 0.963
5LWJ 2 0.841
5LWJ 3 0.952
5LWJ 4 0.898
5LWJ 5 0.976
5LWJ 6 0.964
5LWJ 7 0.975
5LWJ 8 0.95
5LWJ 9 0.936
5LWJ 10 0.963
5LWJ 11 0.938
5LWJ 12 1
5LWJ 13 0.937
5LWJ 14 0.952
5LWJ 15 0.976
5LWJ 16 0.94
5LWJ 17 0.975
5LWJ 18 0.976
5LWJ 19 0.962
5LWJ 20 0.976
5LWJ 21 0.95
5LWJ 22 0.882
5LWJ 23 0.91
5LWJ 24 0.962
5LWJ 25 0.952
5LWJ 26 0.976
5LWJ 27 0.936
5LWJ 28 0.95
5LWJ 29 0.976
5LWJ 30 0.91
5LWJ 31 0.976
5LWJ 32 0.964
5LWJ 33 0.938
5LWJ 34 0.975
5LWJ 35 0.937
5LWJ 36 0.962
5LWJ 37 0.927
5LWJ 38 0.949
5LWJ 39 0.976
5LWJ 40 0.895
5LWJ 41 0.976
5LWJ 42 0.976
5LWJ 43 0.975
5LWJ 44 0.976
5LWJ 45 0.964
5LWJ 46 0.884
5LWJ 47 0.95
5LWJ 48 0.962
5LWJ 49 0.976
5LWJ 50 0.976
5LWJ 51 0.949
5LWJ 52 0.894
5LWJ 53 0.952
5LWJ 54 0.925
5LWJ 55 0.858
5LWJ 56 0.953
5LWJ 57 0.937
5LWJ 58 0.962
5LWJ 59 0.911
5LWJ 60 0.976
5LWJ 61 0.95
5LWJ 62 0.976
5LWJ 63 0.962
5LWJ 64 0.976
5LWJ 65 0.962
5LWJ 66 0.976
5LWJ 67 0.952
5LWJ 68 0.952
5LWJ 69 0.963
5LWJ 70 0.988
5LWJ 71 0.937
5LWJ 72 0.964
5LWJ 73 0.962
5LWJ 74 0.962
5LWJ 75 0.976
5LWJ 76 0.925
5LWJ 77 0.95
5LWJ 78 0.95
5LWJ 79 0.95
5LWJ 80 0.911
5LWJ 81 0.976
5LWJ 82 0.976
5LWJ 83 0.976
5LWJ 84 0.963
5LWJ 85 0.976
5LWJ 86 0.976
5LWJ 87 0.925
5LWJ 88 0.976
5LWJ 89 0.976
5LWJ 90 0.976
5LWJ 91 0.976
5LWJ 92 0.925
5LWJ 93 0.938
5LWJ 94 0.896
5LWJ 95 0.94
5LWJ 96 0.976
5LWJ 97 0.963
5LWJ 98 0.964
5LWJ 99 0.976
5LWJ 100 0.95
