id inf_all
1 0.967
2 0.874
3 0.983
4 0.893
5 1
6 1
7 0.948
8 0.966
9 0.947
10 0.983
11 0.949
12 0.929
13 0.948
14 0.874
15 1
16 1
17 1
18 1
19 0.948
20 1
21 0.931
22 0.852
23 0.91
24 0.931
25 0.965
26 0.947
27 0.929
28 0.983
29 1
30 0.912
31 0.948
32 0.983
33 0.949
34 0.983
35 0.983
36 0.949
37 0.838
38 0.949
39 1
40 0.929
41 1
42 1
43 0.965
44 1
45 0.966
46 0.915
47 0.965
48 0.949
49 1
50 1
51 0.949
52 0.893
53 1
54 0.929
55 0.948
56 0.965
57 0.931
58 0.891
59 0.929
60 0.967
61 0.967
62 1
63 0.983
64 1
65 0.983
66 0.931
67 0.983
68 0.983
69 1
70 1
71 0.858
72 0.983
73 0.947
74 0.948
75 1
76 0.834
77 0.965
78 0.929
79 0.949
80 0.931
81 1
82 1
83 1
84 0.931
85 0.983
86 1
87 0.948
88 0.983
89 0.983
90 1
91 1
92 0.854
93 0.983
94 0.931
95 0.897
96 0.983
97 0.965
98 0.966
99 1
100 0.929
