id model inf_all
2M8K 1 0.97
2M8K 2 0.824
2M8K 3 0.962
2M8K 4 0.825
2M8K 5 0.97
2M8K 6 0.985
2M8K 7 0.914
2M8K 8 0.97
2M8K 9 0.866
2M8K 10 0.894
2M8K 11 0.915
2M8K 12 0.922
2M8K 13 0.845
2M8K 14 0.933
2M8K 15 0.977
2M8K 16 0.955
2M8K 17 0.946
2M8K 18 0.993
2M8K 19 0.829
2M8K 20 0.985
2M8K 21 0.931
2M8K 22 0.834
2M8K 23 0.924
2M8K 24 0.956
2M8K 25 0.97
2M8K 26 0.949
2M8K 27 0.882
2M8K 28 0.955
2M8K 29 0.97
2M8K 30 0.876
2M8K 31 0.925
2M8K 32 0.977
2M8K 33 0.908
2M8K 34 0.97
2M8K 35 0.915
2M8K 36 0.893
2M8K 37 0.838
2M8K 38 0.922
2M8K 39 0.955
2M8K 40 0.825
2M8K 41 0.993
2M8K 42 1
2M8K 43 0.933
2M8K 44 0.993
2M8K 45 0.97
2M8K 46 0.881
2M8K 47 0.884
2M8K 48 0.924
2M8K 49 0.977
2M8K 50 0.977
2M8K 51 0.892
2M8K 52 0.804
2M8K 53 0.977
2M8K 54 0.946
2M8K 55 0.874
2M8K 56 0.97
2M8K 57 0.902
2M8K 58 0.809
2M8K 59 0.853
2M8K 60 0.955
2M8K 61 0.97
2M8K 62 1
2M8K 63 0.947
2M8K 64 0.977
2M8K 65 0.939
2M8K 66 0.899
2M8K 67 0.993
2M8K 68 0.962
2M8K 69 0.977
2M8K 70 0.924
2M8K 71 0.915
2M8K 72 0.94
2M8K 73 0.899
2M8K 74 0.87
2M8K 75 0.985
2M8K 76 0.869
2M8K 77 0.955
2M8K 78 0.907
2M8K 79 0.932
2M8K 80 0.954
2M8K 81 1
2M8K 82 0.993
2M8K 83 0.985
2M8K 84 0.925
2M8K 85 0.977
2M8K 86 1
2M8K 87 0.893
2M8K 88 0.978
2M8K 89 0.962
2M8K 90 0.985
2M8K 91 1
2M8K 92 0.947
2M8K 93 0.907
2M8K 94 0.784
2M8K 95 0.931
2M8K 96 0.955
2M8K 97 0.94
2M8K 98 0.985
2M8K 99 1
2M8K 100 0.924
