id model inf_all
1XHP 1 0.976
1XHP 2 0.908
1XHP 3 0.976
1XHP 4 0.918
1XHP 5 0.988
1XHP 6 0.988
1XHP 7 0.955
1XHP 8 0.988
1XHP 9 0.953
1XHP 10 0.953
1XHP 11 0.927
1XHP 12 0.965
1XHP 13 0.955
1XHP 14 0.988
1XHP 15 0.988
1XHP 16 0.976
1XHP 17 0.951
1XHP 18 0.988
1XHP 19 0.942
1XHP 20 0.988
1XHP 21 0.931
1XHP 22 0.929
1XHP 23 0.976
1XHP 24 0.988
1XHP 25 0.976
1XHP 26 0.976
1XHP 27 0.953
1XHP 28 0.976
1XHP 29 0.965
1XHP 30 0.955
1XHP 31 0.942
1XHP 32 0.964
1XHP 33 0.953
1XHP 34 0.965
1XHP 35 0.931
1XHP 36 0.918
1XHP 37 0.963
1XHP 38 0.94
1XHP 39 0.976
1XHP 40 0.955
1XHP 41 1
1XHP 42 1
1XHP 43 0.964
1XHP 44 0.988
1XHP 45 0.988
1XHP 46 0.976
1XHP 47 0.976
1XHP 48 0.934
1XHP 49 0.988
1XHP 50 0.976
1XHP 51 0.955
1XHP 52 0.929
1XHP 53 0.942
1XHP 54 0.976
1XHP 55 0.976
1XHP 56 0.976
1XHP 57 0.918
1XHP 58 0.918
1XHP 59 0.892
1XHP 60 0.955
1XHP 61 0.965
1XHP 62 1
1XHP 63 0.988
1XHP 64 0.988
1XHP 65 0.929
1XHP 66 0.988
1XHP 67 0.976
1XHP 68 0.976
1XHP 69 0.953
1XHP 70 0.988
1XHP 71 0.951
1XHP 72 0.964
1XHP 73 0.938
1XHP 74 0.964
1XHP 75 0.988
1XHP 76 0.944
1XHP 77 0.988
1XHP 78 0.94
1XHP 79 0.965
1XHP 80 0.953
1XHP 81 1
1XHP 82 0.988
1XHP 83 0.988
1XHP 84 0.964
1XHP 85 0.953
1XHP 86 1
1XHP 87 0.976
1XHP 88 0.976
1XHP 89 0.976
1XHP 90 1
1XHP 91 1
1XHP 92 0.964
1XHP 93 0.965
1XHP 94 0.944
1XHP 95 0.976
1XHP 96 0.955
1XHP 97 0.988
1XHP 98 0.988
1XHP 99 1
1XHP 100 0.942
