rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.89 0.78 0.86 0.81 0.84
1YSV 0.89 0.91 0.91 0.89 0.90
1Z2J 0.86 0.86 0.87 0.84 0.86
1ZC5 0.84 0.82 0.85 0.81 0.83
28SR 0.91 0.87 0.90 0.88 0.89
2FDT 0.81 0.85 0.84 0.82 0.83
2JWV 0.96 0.76 0.89 0.84 0.87
2K66 0.71 0.94 0.80 0.84 0.82
2KOC 0.71 0.94 0.80 0.85 0.83
2L1V 0.73 0.98 0.84 0.86 0.85
2L3E 0.89 0.91 0.91 0.89 0.90
2LBJ 0.87 0.90 0.88 0.88 0.88
2LBL 0.95 0.80 0.90 0.86 0.88
2LDL 0.89 0.83 0.87 0.85 0.86
2LDT 0.69 0.84 0.76 0.76 0.76
2LHP 0.89 0.80 0.86 0.83 0.85
2LI4 0.89 0.89 0.90 0.88 0.89
2LK3 0.92 0.81 0.88 0.86 0.87
2LP9 0.52 1.00 0.68 0.79 0.75
2LPA 0.73 0.94 0.82 0.84 0.83
2LPS 0.96 0.78 0.90 0.85 0.88
2LQZ 0.78 0.96 0.86 0.86 0.86
2LU0 0.93 0.73 0.86 0.80 0.84
2LUB 0.91 0.87 0.90 0.88 0.89
2LUN 0.93 0.84 0.90 0.87 0.89
2LV0 0.85 0.87 0.87 0.85 0.86
2M12 0.91 0.74 0.85 0.80 0.83
2M21 0.85 0.83 0.85 0.83 0.84
2M22 0.91 0.79 0.86 0.83 0.85
2M24 0.91 0.89 0.91 0.89 0.90
2M4W 0.85 0.71 0.80 0.76 0.78
2M5U 0.95 0.78 0.89 0.84 0.87
2M8K 0.87 0.74 0.83 0.78 0.81
2MEQ 0.87 0.89 0.89 0.87 0.88
2MHI 0.84 0.89 0.87 0.85 0.86
2MNC 0.62 0.96 0.74 0.81 0.78
2MXL 0.82 0.87 0.85 0.83 0.84
2N2O 0.93 0.78 0.88 0.84 0.86
2N2P 0.88 0.94 0.91 0.91 0.91
2N4L 0.77 0.84 0.81 0.79 0.80
2N6S 0.91 0.84 0.89 0.86 0.88
2N6T 0.86 0.81 0.86 0.81 0.84
2N6W 0.85 0.82 0.85 0.82 0.84
2N6X 0.80 0.84 0.83 0.81 0.82
2NCI 0.89 0.74 0.84 0.79 0.82
2QH2 0.98 0.71 0.89 0.82 0.86
2QH4 0.87 0.85 0.87 0.85 0.86
2RVO 0.84 0.91 0.88 0.86 0.87
2Y95 0.83 0.85 0.85 0.83 0.84
4A4S 0.78 0.89 0.83 0.82 0.83
4A4T 0.72 0.89 0.80 0.80 0.80
4A4U 0.80 0.89 0.84 0.84 0.84
5A17 0.96 0.65 0.85 0.77 0.82
5A18 0.85 0.82 0.85 0.82 0.84
5IEM 0.89 0.80 0.87 0.82 0.85
5KH8 0.95 0.84 0.91 0.88 0.90
5KMZ 0.71 0.98 0.82 0.85 0.84
5KQE 0.87 0.69 0.82 0.75 0.79
5LSN 0.85 0.85 0.86 0.84 0.85
5LWJ 0.87 0.91 0.90 0.88 0.89
5N5C 0.74 0.83 0.78 0.78 0.78
5UF3 0.95 0.75 0.88 0.83 0.86
5UZT 0.84 0.77 0.83 0.78 0.81
5V16 0.87 0.98 0.92 0.92 0.92
5V17 0.66 0.95 0.78 0.80 0.79
5WQ1 0.93 0.93 0.93 0.92 0.93
6EZ0 0.74 0.89 0.81 0.81 0.81
