rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.91 0.93 0.91 0.93 0.92
1YSV 0.89 0.84 0.85 0.87 0.86
1Z2J 0.93 0.86 0.88 0.90 0.89
1ZC5 0.84 0.88 0.84 0.88 0.86
28SR 0.84 0.80 0.80 0.83 0.82
2FDT 0.93 0.91 0.91 0.93 0.92
2JWV 1.00 0.75 0.86 0.86 0.86
2K66 0.69 0.93 0.77 0.88 0.84
2KOC 0.74 0.95 0.81 0.91 0.88
2L1V 0.63 0.94 0.73 0.87 0.82
2L3E 0.93 0.84 0.87 0.89 0.88
2LBJ 0.91 0.93 0.91 0.93 0.92
2LBL 0.86 0.84 0.84 0.86 0.85
2LDL 0.86 0.91 0.87 0.91 0.89
2LDT 0.77 0.86 0.79 0.84 0.82
2LHP 0.81 0.84 0.80 0.85 0.83
2LI4 0.91 0.91 0.90 0.92 0.91
2LK3 0.93 0.93 0.92 0.94 0.93
2LP9 0.55 0.98 0.70 0.86 0.81
2LPA 0.78 0.92 0.82 0.90 0.87
2LPS 0.95 0.86 0.89 0.91 0.90
2LQZ 0.67 1.00 0.81 0.89 0.86
2LU0 1.00 0.86 0.92 0.92 0.92
2LUB 0.95 0.91 0.92 0.94 0.93
2LUN 0.95 0.88 0.90 0.92 0.91
2LV0 0.89 0.95 0.91 0.93 0.92
2M12 1.00 0.82 0.90 0.90 0.90
2M21 0.91 0.91 0.90 0.92 0.91
2M22 0.91 0.88 0.88 0.90 0.89
2M24 0.93 0.82 0.86 0.88 0.87
2M4W 0.95 0.90 0.91 0.93 0.92
2M5U 0.95 0.79 0.86 0.86 0.86
2M8K 0.98 0.86 0.91 0.91 0.91
2MEQ 0.90 0.83 0.84 0.88 0.86
2MHI 0.82 0.98 0.89 0.92 0.91
2MNC 0.52 0.97 0.67 0.84 0.78
2MXL 0.89 0.91 0.89 0.91 0.90
2N2O 1.00 0.71 0.83 0.83 0.83
2N2P 0.85 0.93 0.87 0.92 0.90
2N4L 0.89 0.88 0.87 0.89 0.88
2N6S 0.96 0.87 0.91 0.91 0.91
2N6T 0.98 0.88 0.91 0.92 0.92
2N6W 0.87 0.91 0.88 0.90 0.89
2N6X 0.84 0.95 0.88 0.91 0.90
2NCI 0.95 0.84 0.88 0.90 0.89
2QH2 0.98 0.86 0.91 0.91 0.91
2QH4 0.93 0.88 0.89 0.91 0.90
2RVO 0.89 0.88 0.87 0.89 0.88
2Y95 0.80 0.97 0.87 0.92 0.90
4A4S 0.67 0.89 0.74 0.84 0.80
4A4T 0.93 0.91 0.91 0.93 0.92
4A4U 0.86 0.88 0.85 0.88 0.87
5A17 0.98 0.82 0.89 0.89 0.89
5A18 0.91 0.82 0.85 0.87 0.86
5IEM 0.82 0.91 0.85 0.89 0.87
5KH8 0.95 0.79 0.86 0.86 0.86
5KMZ 0.55 1.00 0.71 0.87 0.82
5KQE 0.91 0.80 0.84 0.86 0.85
5LSN 0.86 0.88 0.85 0.88 0.87
5LWJ 0.86 0.91 0.87 0.90 0.89
5N5C 0.80 0.95 0.86 0.91 0.89
5UF3 0.98 0.79 0.87 0.87 0.87
5UZT 0.93 0.80 0.85 0.87 0.86
5V16 0.85 0.94 0.89 0.91 0.90
5V17 0.82 0.96 0.88 0.92 0.90
5WQ1 0.84 0.95 0.88 0.91 0.90
6EZ0 0.77 0.86 0.79 0.84 0.82
