1XHP 1YSV 1Z2J 1ZC5 28SR 2FDT 2JWV 2K66 2KOC 2L1V 2L3E 2LBJ 2LBL 2LDL 2LDT 2LHP 2LI4 2LK3 2LP9 2LPA 2LPS 2LQZ 2LU0 2LUB 2LUN 2LV0 2M12 2M21 2M22 2M24 2M4W 2M5U 2M8K 2MEQ 2MHI 2MNC 2MXL 2N2O 2N2P 2N4L 2N6S 2N6T 2N6W 2N6X 2NCI 2QH2 2QH4 2RVO 2Y95 4A4S 4A4T 4A4U 5A17 5A18 5IEM 5KH8 5KMZ 5KQE 5LSN 5LWJ 5N5C 5UF3 5UZT 5V16 5V17 5WQ1 6EZ0
1XHP 1 0.22 0.25 0.19 0.46 0.22 0.34 0.41 0.5 0.53 0.41 0.35 0.35 0.63 0.58 0.47 0.44 0.42 0.31 0.53 0.56 0.52 0.22 0.5 0.43 0.46 0.26 0.43 0.26 0.24 0.29 0.27 0.12 0.42 0.53 0.31 0.19 0.48 0.48 0.19 0.41 0.38 0.31 0.5 0.36 0.42 0.44 0.31 0.43 0.45 0.5 0.45 0.34 0.34 0.22 0.22 0.16 0.22 0.34 0.41 0.53 0.48 0.23 0.41 0.41 0.39 0.37
1YSV 0.22 1 0.41 0.3 0.26 0.19 0.33 0.5 0.29 0.3 0.26 0.35 0.24 0.44 0.44 0.37 0.41 0.29 0.44 0.47 0.37 0.22 0.44 0.19 0.3 0.38 0.39 0.48 0.39 0.41 0.35 0.5 0.48 0.42 0.52 0.19 0.19 0.39 0.43 0.44 0.48 0.52 0.44 0.33 0.33 0.21 0.44 0.52 0.21 0.41 0.41 0.41 0.37 0.37 0.15 0.3 0.3 0.3 0.33 0.41 0.42 0.35 0.37 0.56 0.26 0.43 0.26
1Z2J 0.25 0.41 1 0.85 0.25 0.25 0.45 0.5 0.5 0.5 0.49 0.53 0.47 0.22 0.71 0.3 0.31 0.33 0.75 0.67 0.41 0.48 0.18 0.49 0.39 0.33 0.43 0.48 0.57 0.41 0.41 0.55 0.13 0.47 0.44 0.45 0.51 0.26 0.22 0.6 0.31 0.48 0.13 0.21 0.36 0.42 0.44 0.26 0.5 0.45 0.41 0.32 0.22 0.22 0.4 0.2 0.23 0.39 0.34 0.41 0.47 0.48 0.19 0.37 0.39 0.43 0.37
1ZC5 0.19 0.3 0.85 1 0.39 0.44 0.41 0.45 0.5 0.28 0.49 0.47 0.41 0.41 0.19 0.43 0.47 0.25 0.56 0.6 0.32 0.52 0.15 0.24 0.25 0.25 0.39 0.43 0.48 0.28 0.35 0.32 0.32 0.53 0.44 0.38 0.49 0.39 0.43 0.56 0.17 0.17 0.15 0.22 0.36 0.42 0.33 0.53 0.5 0.27 0.27 0.32 0.41 0.41 0.49 0.44 0.52 0.28 0.21 0.15 0.47 0.43 0.19 0.22 0.22 0.39 0.3
28SR 0.46 0.26 0.25 0.39 1 0.54 0.18 0.41 0.43 0.18 0.43 0.59 0.18 0.44 0.54 0.39 0.54 0.5 0.44 0.27 0.25 0.22 0.5 0.43 0.32 0.46 0.48 0.43 0.57 0.46 0.47 0.45 0.36 0.47 0.29 0.32 0.57 0.39 0.35 0.39 0.32 0.29 0.29 0.39 0.36 0.25 0.39 0.57 0.57 0.5 0.5 0.55 0.14 0.14 0.25 0.36 0.21 0.43 0.39 0.36 0.47 0.39 0.36 0.32 0.25 0.22 0.22
2FDT 0.22 0.19 0.25 0.44 0.54 1 0.31 0.45 0.5 0.44 0.23 0.41 0.29 0.44 0.52 0.25 0.31 0.46 0.44 0.6 0.41 0.56 0.36 0.25 0.5 0.42 0.52 0.43 0.43 0.41 0.47 0.45 0.39 0.53 0.31 0.45 0.39 0.48 0.17 0.53 0.5 0.33 0.44 0.42 0.25 0.25 0.33 0.5 0.57 0.18 0.45 0.18 0.38 0.38 0.22 0.5 0.23 0.5 0.45 0.15 0.53 0.39 0.42 0.36 0.36 0.22 0.44
2JWV 0.34 0.33 0.45 0.41 0.18 0.31 1 0.27 0.36 0.28 0.17 0.47 0.47 0.37 0.28 0.41 0.55 0.38 0.25 0.27 0.45 0.15 0.41 0.41 0.43 0.38 0.26 0.24 0.26 0.21 0.53 0.55 0.21 0.53 0.38 0.38 0.52 0.48 0.39 0.55 0.31 0.28 0.41 0.31 0.43 0.21 0.28 0.41 0.5 0.14 0.14 0.27 0.41 0.41 0.41 0.24 0.45 0.31 0.31 0.31 0.53 0.39 0.38 0.24 0.24 0.43 0.41
2K66 0.41 0.5 0.5 0.45 0.41 0.45 0.27 1 0.29 0.5 0.45 0.41 0.29 0.59 0.64 0.41 0.41 0.45 0.44 0.53 0.5 0.18 0.55 0.41 0.36 0.55 0.59 0.33 0.55 0.86 0.47 0.32 0.45 0.42 0.27 0.45 0.5 0.45 0.41 0.64 0.5 0.45 0.64 0.73 0.27 0.45 0.39 0.41 0.43 0.45 0.45 0.45 0.45 0.45 0.5 0.41 0.27 0.5 0.59 0.5 0.26 0.5 0.59 0.41 0.23 0.36 0.5
2KOC 0.5 0.29 0.5 0.5 0.43 0.5 0.36 0.29 1 0.21 0.57 0.29 0.57 0.29 0.57 0.71 0.57 0.43 0.36 0.43 0.5 0.57 0.5 0.71 0.57 0.21 0.5 0.43 0.57 0.57 0.21 0.43 0.5 0.21 0.57 0.36 0.5 0.43 0.5 0.5 0.57 0.5 0.5 0.57 0.43 0.5 0.86 0.57 0.79 0.5 0.29 0.5 0.43 0.43 0.57 0.71 0.57 0.29 0.5 0.5 0.21 0.5 0.36 0.57 0.57 0.43 0.5
2L1V 0.53 0.3 0.5 0.28 0.18 0.44 0.28 0.5 0.21 1 0.14 0.35 0.53 0.22 0.29 0.28 0.28 0.38 0.62 0.6 0.18 0.22 0.33 0.31 0.36 0.42 0.35 0.62 0.43 0.38 0.35 0.55 0.53 0.47 0.31 0.41 0.17 0.43 0.22 0.53 0.33 0.28 0.5 0.44 0.29 0.46 0.44 0.29 0.36 0.41 0.41 0.23 0.25 0.25 0.14 0.5 0.39 0.47 0.41 0.18 0.58 0.48 0.42 0.33 0.33 0.35 0.37
2L3E 0.41 0.26 0.49 0.49 0.43 0.23 0.17 0.45 0.57 0.14 1 0.53 0.41 0.52 0.29 0.37 0.25 0.5 0.44 0.4 0.12 0.7 0.57 0.4 0.46 0.5 0.52 0.38 0.43 0.41 0.41 0.45 0.49 0.16 0.23 0.48 0.46 0.13 0.43 0.63 0.17 0.2 0.26 0.34 0.29 0.38 0.39 0.47 0.64 0.5 0.45 0.32 0.38 0.38 0.46 0.54 0.1 0.51 0.45 0.24 0.16 0.35 0.45 0.17 0.17 0.43 0.3
2LBJ 0.35 0.35 0.53 0.47 0.59 0.41 0.47 0.41 0.29 0.35 0.53 1 0.65 0.24 0.47 0.59 0.65 0.35 0.25 0.4 0.41 0.53 0.53 0.65 0.59 0.35 0.53 0.18 0.29 0.53 0.41 0.47 0.53 0.47 0.53 0.24 0.47 0.24 0.41 0.35 0.47 0.41 0.41 0.29 0.59 0.47 0.24 0.59 0.29 0.53 0.59 0.53 0.41 0.41 0.47 0.47 0.41 0.53 0.53 0.41 0.18 0.47 0.41 0.53 0.53 0.47 0.18
2LBL 0.35 0.24 0.47 0.41 0.18 0.29 0.47 0.29 0.57 0.53 0.41 0.65 1 0.47 0.53 0.53 0.47 0.29 0.38 0.67 0.47 0.53 0.35 0.71 0.47 0.18 0.29 0.47 0.35 0.47 0.41 0.35 0.53 0.41 0.53 0.65 0.47 0.29 0.47 0.47 0.59 0.53 0.53 0.29 0.65 0.35 0.29 0.47 0.5 0.29 0.29 0.29 0.41 0.41 0.53 0.35 0.41 0.35 0.53 0.41 0.18 0.47 0.47 0.41 0.41 0.71 0.47
2LDL 0.63 0.44 0.22 0.41 0.44 0.44 0.37 0.59 0.29 0.22 0.52 0.24 0.47 1 0.41 0.44 0.22 0.54 0.44 0.4 0.15 0.44 0.56 0.41 0.26 0.42 0.52 0.43 0.43 0.41 0.47 0.23 0.44 0.42 0.15 0.15 0.41 0.61 0.35 0.56 0.56 0.48 0.44 0.33 0.3 0.21 0.28 0.44 0.29 0.23 0.23 0.23 0.19 0.19 0.52 0.19 0.3 0.37 0.07 0.41 0.58 0.13 0.15 0.44 0.44 0.39 0.41
2LDT 0.58 0.44 0.71 0.19 0.54 0.52 0.28 0.64 0.57 0.29 0.29 0.47 0.53 0.41 1 0.55 0.42 0.5 0.5 0.47 0.35 0.56 0.23 0.58 0.46 0.5 0.43 0.48 0.61 0.59 0.47 0.32 0.35 0.63 0.23 0.41 0.26 0.3 0.39 0.35 0.52 0.42 0.42 0.55 0.36 0.5 0.5 0.42 0.57 0.23 0.23 0.45 0.45 0.45 0.26 0.52 0.19 0.23 0.31 0.48 0.26 0.57 0.35 0.35 0.39 0.22 0.56
2LHP 0.47 0.37 0.3 0.43 0.39 0.25 0.41 0.41 0.71 0.28 0.37 0.59 0.53 0.44 0.55 1 0.5 0.58 0.75 0.8 0.35 0.56 0.35 0.95 0.43 0.54 0.52 0.48 0.48 0.52 0.53 0.32 0.3 0.47 0.43 0.38 0.22 0.48 0.43 0.43 0.42 0.65 0.41 0.51 0.32 0.46 0.44 0.18 0.5 0.18 0.18 0.59 0.44 0.44 0.38 0.3 0.26 0.61 0.31 0.38 0.53 0.61 0.29 0.51 0.49 0.48 0.44
