rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.95 0.80 0.90 0.86 0.88
1YSV 0.98 0.85 0.93 0.91 0.92
1Z2J 0.95 0.84 0.91 0.88 0.90
1ZC5 0.95 0.82 0.91 0.87 0.89
28SR 0.98 0.78 0.91 0.87 0.89
2FDT 0.93 0.83 0.89 0.86 0.88
2JWV 0.98 0.69 0.88 0.81 0.85
2K66 0.76 0.92 0.83 0.85 0.84
2KOC 0.78 0.94 0.84 0.87 0.86
2L1V 0.81 0.96 0.88 0.88 0.88
2L3E 0.98 0.80 0.92 0.88 0.90
2LBJ 0.94 0.83 0.90 0.88 0.89
2LBL 0.93 0.76 0.87 0.82 0.85
2LDL 0.94 0.83 0.90 0.88 0.89
2LDT 0.93 0.87 0.91 0.89 0.90
2LHP 1.00 0.78 0.92 0.88 0.90
2LI4 0.95 0.82 0.90 0.87 0.89
2LK3 0.98 0.77 0.89 0.86 0.88
2LP9 0.71 1.00 0.83 0.86 0.85
2LPA 0.88 0.94 0.91 0.91 0.91
2LPS 1.00 0.78 0.92 0.88 0.90
2LQZ 0.81 0.93 0.87 0.87 0.87
2LU0 0.96 0.76 0.89 0.84 0.87
2LUB 1.00 0.76 0.91 0.86 0.89
2LUN 1.00 0.82 0.93 0.90 0.92
2LV0 0.96 0.85 0.92 0.90 0.91
2M12 1.00 0.70 0.88 0.82 0.86
2M21 0.87 0.85 0.87 0.85 0.86
2M22 0.96 0.79 0.89 0.86 0.88
2M24 0.98 0.76 0.90 0.85 0.88
2M4W 0.92 0.79 0.87 0.84 0.86
2M5U 0.96 0.71 0.88 0.81 0.85
2M8K 0.94 0.72 0.86 0.80 0.84
2MEQ 0.96 0.89 0.94 0.92 0.93
2MHI 0.91 0.84 0.89 0.86 0.88
2MNC 0.69 0.96 0.80 0.84 0.82
2MXL 0.95 0.82 0.90 0.87 0.89
2N2O 0.98 0.65 0.86 0.78 0.83
2N2P 0.92 0.92 0.92 0.92 0.92
2N4L 0.88 0.82 0.87 0.83 0.85
2N6S 0.91 0.84 0.89 0.86 0.88
2N6T 0.98 0.77 0.91 0.86 0.89
2N6W 1.00 0.71 0.89 0.83 0.87
2N6X 0.89 0.84 0.88 0.85 0.87
2NCI 0.98 0.61 0.85 0.75 0.81
2QH2 1.00 0.73 0.90 0.85 0.88
2QH4 0.92 0.75 0.86 0.82 0.84
2RVO 0.93 0.78 0.88 0.83 0.86
2Y95 0.89 0.79 0.85 0.82 0.84
4A4S 0.91 0.84 0.89 0.86 0.88
4A4T 0.85 0.78 0.84 0.80 0.82
4A4U 0.93 0.85 0.90 0.88 0.89
5A17 0.98 0.70 0.88 0.81 0.85
5A18 0.98 0.73 0.89 0.84 0.87
5IEM 0.98 0.84 0.93 0.90 0.92
5KH8 0.98 0.76 0.90 0.85 0.88
5KMZ 0.75 0.96 0.84 0.86 0.85
5KQE 1.00 0.73 0.90 0.85 0.88
5LSN 0.91 0.85 0.89 0.87 0.88
5LWJ 0.95 0.89 0.93 0.91 0.92
5N5C 0.87 0.87 0.88 0.86 0.87
5UF3 1.00 0.66 0.88 0.79 0.85
5UZT 0.96 0.84 0.92 0.89 0.91
5V16 0.95 0.93 0.95 0.93 0.94
5V17 0.82 0.91 0.87 0.85 0.86
5WQ1 0.93 0.89 0.92 0.90 0.91
6EZ0 0.91 0.83 0.88 0.85 0.87
